DAT	W	Wroot	OMN	OMS	Tsoil	Eh	Com	Cr	P	FEh	Ebl	Ep	E
218.0	554.3253281361518	55.0819641597036	139.80255324022602	128.0678460315195	9.568000000000001	50.428300311189126	0.3389429643878027	4.841482969905841	0.02372845796060925	0.10315518884418325	0.0006810259420980921	0.010266506911982868	0.01094753285408096
219.0	570.755549311476	56.59890309262403	139.4301616808182	128.0299422690835	9.872	46.48981055612727	0.41029532184382855	5.021519846630265	0.027971468926039075	0.10786395523798681	0.0007921079126519431	0.011955164720819167	0.012747272633471111
220.0	586.8421002320264	58.08117541608681	138.87639039590002	127.97344301145145	14.508000000000001	42.728437325167626	0.6102705425502237	5.1990510697894425	0.047355652114247145	0.11256149065967162	0.0015265448848387154	0.01998690917029301	0.021513454055131723
221.0	602.5481712305946	59.525667932115425	138.44262970068743	127.92903113517696	11.696	39.13511537274385	0.4781725714870866	5.373561465906941	0.037907329470914485	0.11724010030843929	0.0010962739283540675	0.01579357262808466	0.01688984655643873
222.0	617.8409343171065	60.92963741580138	138.2064703822611	127.90478392103398	7.364000000000001	35.701429554638096	0.26040653256930224	5.544576160457312	0.023747624374626696	0.12189244741672349	0.0005447301253424424	0.009763697968037163	0.010308428093379604
223.0	632.6917163739125	62.290722236859324	137.98015856688954	127.88151248779049	5.768000000000001	32.41954665217769	0.24958324861505513	5.71166451746852	0.022142766692423713	0.12651156795326088	0.0004360349627579809	0.008980916616086097	0.009416951578844078
224.0	647.0760910796743	63.606946917611936	137.73475307726073	127.85624087908603	6.148	29.28215459750731	0.27067709833325876	5.874443034499647	0.024711689953500905	0.1310908848605742	0.0004939035065357966	0.009884342253301554	0.01037824575983735
225.0	660.9738935296701	64.87672005567072	137.4486667043347	127.82673333538592	7.972	26.28240871415186	0.315593916626136	6.032577198227029	0.031199289496161006	0.13562422096234023	0.0006988238103957929	0.012303056477528385	0.013001880287924178
226.0	674.3691635509982	66.0988262027231	137.04290163027326	127.78480445049746	10.48	23.41388448442847	0.447693958949879	6.185782339336172	0.04434340130225308	0.14010580980813317	0.0011033237187750692	0.017234211251520856	0.018337534970295926
227.0	687.2500252974371	67.27241241433558	136.5896656230345	127.7378469942184	12.0	20.67053628623672	0.5001934635178192	6.333823553827315	0.053730503993627235	0.14453030389064445	0.0013892871879415652	0.020575639241183094	0.02196492642912466
228.0	699.6085118271574	68.39697026844578	136.10452192826165	127.68743549283867	12.304000000000002	18.04666150440945	0.5355551961525948	6.4765147803723915	0.0587917811020412	0.14889277985158814	0.001510213804136111	0.022176850404784773	0.023687064208920885
229.0	711.4403440236674	69.47231419347702	135.68906712677713	127.64412861416339	12.152000000000001	15.53686941231992	0.45876168015981117	6.613717139647609	0.0574756639954627	0.15318874046952838	0.0014463542766043906	0.021350293274233254	0.022796647550837643
230.0	722.7446734480699	70.49855695415226	135.2695613870404	127.60028045312613	11.392	13.136054232860193	0.4633539007739809	6.745336651666503	0.056811316766677306	0.1574141133831971	0.0013723944506791594	0.02077696235426147	0.02214935680494063
231.0	733.5237985597299	71.47608311889974	134.90367315452636	127.56193114970186	11.468	10.839371818826443	0.40423753593830203	6.871321451460062	0.05676759521079189	0.16156524663959687	0.0013562801114372085	0.020434817753620483	0.02179109786505769
232.0	743.7828632761452	72.40552128295303	134.50859107771316	127.52042216324223	10.632	8.642219435866064	0.4365910632728347	6.991658622662958	0.05676614858718822	0.16563890126354863	0.001297295960270195	0.02010867422874679	0.021405970189016982
233.0	753.5295461308007	73.28771575201426	134.16508535914275	127.48423777953144	9.72	6.540218181650463	0.37969010228119016	7.106370763508959	0.05245864964741827	0.16963224112381012	0.0011394882997503091	0.018282702498798594	0.019422190798548903
234.0	762.7737474004434	74.12369830871114	133.81359150033092	127.44712767202233	9.644000000000002	4.529197628765555	0.3886039663209353	7.215512391340341	0.05433378793141633	0.17354282042232289	0.0011628808893955015	0.018626569558884695	0.019789450448280198
235.0	771.5272805772313	74.9146605937359	133.50523923821177	127.41449636614074	8.808	2.6051823327331296	0.3409835680007293	7.31916628093128	0.050494950446039195	0.17736856916085794	0.0010265267736623714	0.01702415167953735	0.01805067845319972
236.0	779.8035735162563	75.6619275404621	133.20189933926238	127.38232958820676	8.276	0.7643798982106518	0.3355066768833694	7.417439819598788	0.049752967714709814	0.18110777694743038	0.0009727764851452905	0.016493421257470425	0.017466197742615715
237.0	787.6173835456701	76.36693221019914	132.87330241995562	127.34741396906483	9.416	-0.9968296558396568	0.36351253844870435	7.510461449017677	0.05717559980001619	0.18475907549762272	0.0011752182251220538	0.018633771030872485	0.01980898925599454
238.0	794.984529825601	77.0311922883185	132.511565171927	127.30889247508544	10.404	-2.68190344831308	0.40025874200800277	7.598377250537855	0.0652282195221038	0.18832142016747566	0.0013883185646168517	0.020895469932261174	0.022283788496878027
239.0	801.9216453136297	77.65628842168803	132.0618533418007	127.26088633820218	12.608	-4.294144384098602	0.49771796700954996	7.6813477181588246	0.08463495051291994	0.1917940708284992	0.0019334572868932337	0.02664559514622447	0.028579052433117706
240.0	808.4459498595775	78.24384450676621	131.6892433269678	127.22099031848263	11.315999999999999	-5.836709044444704	0.41250603455244667	7.759544751548564	0.07423992659063287	0.19517657236465957	0.0016114437516942246	0.02296723555432236	0.024578679306016586
241.0	814.5750452229836	78.7955099761931	131.24076490903508	127.17285016078644	12.532	-7.312614938440841	0.4966185756289375	7.833148890877219	0.08820869437557877	0.19846873503834486	0.0019812261673991683	0.026811330098962853	0.02879255626636202
242.0	820.326732187912	79.31294408005374	130.69958284465056	127.11458264033239	14.584000000000001	-8.724747211722137	0.5994495848385721	7.902346805933384	0.1117508440423068	0.20167061493913235	0.0026431841846174127	0.033368560022064786	0.0360117442066822
243.0	825.7188494408209	79.79780211597097	129.81009840248248	127.01846191899708	18.612000000000002	-10.075864889799448	0.985605163503387	7.967329044070914	0.18056882189695841	0.20478249469700444	0.0046312530058157655	0.05296103928052112	0.05759229228633689
244.0	830.7691334729866	80.25172352925017	128.6470513710787	126.89201357733286	21.272	-11.368606718235439	1.2894953730679952	8.02828803499168	0.24501777513260756	0.20780486461137324	0.006534198737042253	0.07058121201994308	0.07711541075698533
245.0	835.495098461092	80.67632177965845	127.85438897302336	126.80514150136626	17.32	-12.605496649690899	0.8795344740219425	8.085416345141017	0.16428545498379693	0.21073840431941282	0.004065177910699612	0.04647530732538655	0.05054048523608616
246.0	839.9139348578911	81.0731758541366	127.0477425244445	126.7162496526214	17.396	-13.788949018152863	0.8955382973237235	8.138905170476056	0.16916982743747258	0.21358396510204883	0.004171944306891017	0.0469931469338165	0.05116509124070752
247.0	844.0424252781106	81.44382329378914	126.21798828931621	126.62429529250831	18.688000000000002	-14.92127343297823	0.9217085952413795	8.188943053435011	0.19188217045150835	0.21634255290359214	0.00482867550111396	0.05233525739725936	0.05716393289837332
248.0	847.896876181519	81.7897545978908	124.93199482199361	126.48094715968446	23.171999999999997	-16.004679419353238	1.4293416001464443	8.23571480794803	0.31454052143644956	0.21901531212138337	0.008460820287995033	0.08422611739587682	0.09268693768387186
249.0	851.4930638242499	82.11240886638836	123.36741743358039	126.3049498720996	24.311999999999998	-17.0412808270493	1.7405746759980945	8.279400635144283	0.3693310176793046	0.22160351020479735	0.010046800039192255	0.09708703286077862	0.10713383289997087
250.0	854.846192960626	82.41317054458102	122.54980187943069	126.21194053847215	18.916000000000004	-18.033100025674138	0.9106248877771428	8.320175411886538	0.20407628503101097	0.22410852308835516	0.00509615335111158	0.052659950870300475	0.05775610422141206
251.0	857.970866821438	82.69336713851499	122.15147630537136	126.16635957383833	12.456	-18.982071901748764	0.44390653869315083	8.358208134273536	0.10154607000667118	0.22653182147128761	0.0021680556457600564	0.0257195234164891	0.027887579062249156
252.0	860.8810669626176	82.95426777642376	121.75289960356349	126.12061766842436	12.228000000000002	-19.89004767070432	0.44431860722185734	8.393661498674295	0.10107345307637929	0.22887495794546875	0.002135421570229956	0.02512582327508663	0.027261244845316585
253.0	863.590141663323	83.19708249967164	121.31544054587319	126.0702674128017	13.368	-4.089387621110909	0.4878093133129627	8.42669160359333	0.09523494523496683	0.19134951400025899	0.0020776193542189477	0.023234664772540672	0.02531228412675962
